id;gender;firstName;lastName;club;dateOfBirth;weight;license;category;present
36;MALE;Baptiste;Bonhomme;3;10/11/2013;40;M20131109BONHO;BENJAMIN;Y
37;MALE;Jules;Philippon;6;20/04/2014;;M20140419PHILI;BENJAMIN;N
38;MALE;Jérémy;Cazal;2;17/02/2012;50;M20120216CAZAL;BENJAMIN;Y
39;MALE;Hippolyte;Laflèche;6;13/12/2015;;M20151212LAFLÈ;POUSSIN;N
40;FEMALE;Claudie;Blanchard;3;05/06/2014;;F20140604BLANC;BENJAMIN;N
41;MALE;Ernest;Fétique;3;01/12/2014;49;M20141130FÉTIQ;BENJAMIN;Y
42;FEMALE;Jasmine;Figuier;8;09/07/2011;;F20110708FIGUI;BENJAMIN;N
43;MALE;Gervais;Duchemin;5;26/02/2016;;M20160225DUCHE;POUSSIN;N
44;FEMALE;Pascaline;Adnet;1;24/06/2018;;F20180623ADNET;MINI_POUSSIN;N
45;MALE;Brice;Houdin;2;07/09/2014;;M20140906HOUDI;BENJAMIN;N
46;MALE;Thaddée;Trémaux;4;27/01/2016;;M20160126TRÉMA;POUSSIN;N
47;MALE;Godefroy;Michaux;8;16/05/2017;;M20170515MICHA;MINI_POUSSIN;N
48;MALE;Vivien;Carrel;3;01/02/2018;;M20180131CARRE;MINI_POUSSIN;N
49;FEMALE;Roselyne;Anouilh;8;15/09/2018;;F20180914ANOUI;MINI_POUSSIN;N
50;MALE;Quentin;Delaplace;3;20/08/2016;;M20160819DELAP;POUSSIN;N
51;FEMALE;Aurélie;Bourseiller;5;01/03/2013;;F20130228BOURS;BENJAMIN;N
52;MALE;Dany;Ouvrard;5;27/02/2017;;M20170226OUVRA;MINI_POUSSIN;Y
53;MALE;Jean-Charles;Trintignant;1;20/02/2015;;M20150219TRINT;POUSSIN;Y
54;MALE;Alfred;Barthélemy;2;02/04/2012;;M20120401BARTH;BENJAMIN;N
55;FEMALE;Francine;Léger;6;04/12/2014;;F20141203LÉGER;BENJAMIN;N
56;MALE;Henri;Descombes;4;10/02/2019;;M20190209DESCO;MINI_POUSSIN;N
57;MALE;Maxime;Boutin;7;20/08/2012;;M20120819BOUTI;BENJAMIN;N
58;MALE;Daniel;De;5;13/02/2011;;M20110212DE;BENJAMIN;N
59;MALE;Côme;Chauve;7;25/02/2012;;M20120224CHAUV;BENJAMIN;Y
60;MALE;Olivier;Bullion;1;07/06/2016;;M20160606BULLI;POUSSIN;N
61;MALE;Gwenaël;Dubost;5;03/03/2016;;M20160302DUBOS;POUSSIN;N
62;MALE;Jasmin;Marchal;8;11/02/2016;;M20160210MARCH;POUSSIN;Y
63;FEMALE;Marie-Claude;Guillaume;1;07/03/2018;;F20180306GUILL;MINI_POUSSIN;Y
64;MALE;Jean-Baptiste;Dior;1;21/04/2018;;M20180420DIOR;MINI_POUSSIN;N
65;MALE;Godefroy;Brunet;4;12/09/2012;;M20120911BRUNE;BENJAMIN;Y
66;FEMALE;Ophélie;Manaudou;6;11/01/2018;;F20180110MANAU;MINI_POUSSIN;N
67;FEMALE;Christiane;Périer;6;09/05/2019;;F20190508PÉRIE;MINI_POUSSIN;Y
68;MALE;Cyrille;Peltier;8;17/08/2013;;M20130816PELTI;BENJAMIN;N
69;FEMALE;Nicole;Devereaux;7;01/12/2018;;F20181130DEVER;MINI_POUSSIN;N
70;MALE;Valéry;Duhamel;1;27/04/2015;;M20150426DUHAM;POUSSIN;N
71;FEMALE;Solene;Brassard;2;10/06/2015;;F20150609BRASS;POUSSIN;Y
72;MALE;Florian;Courtet;2;07/10/2015;;M20151006COURT;POUSSIN;N
73;FEMALE;Lorraine;Berlioz;1;11/12/2018;;F20181210BERLI;MINI_POUSSIN;N
74;FEMALE;Carla;Guillaume;4;12/05/2017;;F20170511GUILL;MINI_POUSSIN;Y
75;MALE;Félix;Seyrès;2;20/07/2019;;M20190719SEYRÈ;MINI_POUSSIN;Y
76;FEMALE;Yvonne;Philippon;2;05/05/2016;;F20160504PHILI;POUSSIN;N
77;MALE;Jean-Jacques;Boffrand;7;21/02/2015;;M20150220BOFFR;POUSSIN;Y
78;MALE;Jean-Claude;Boissonade;5;08/10/2018;;M20181007BOISS;MINI_POUSSIN;Y
79;MALE;Hervé;Nee;6;19/10/2018;;M20181018NEE;MINI_POUSSIN;N
80;FEMALE;Pascale;Beauregard;5;25/10/2017;;F20171024BEAUR;MINI_POUSSIN;N
81;FEMALE;Isabelle;Dubost;5;02/07/2018;;F20180701DUBOS;MINI_POUSSIN;Y
82;MALE;Julien;Flandin;1;18/06/2017;;M20170617FLAND;MINI_POUSSIN;N
83;FEMALE;Isabelle;Clérico;6;07/05/2018;;F20180506CLÉRI;MINI_POUSSIN;Y
84;FEMALE;Fiona;Ponce;6;20/01/2013;;F20130119PONCE;BENJAMIN;N
85;MALE;Émile;Leroux;6;04/02/2017;;M20170203LEROU;MINI_POUSSIN;N
86;MALE;Luc;Niel;5;18/02/2013;;M20130217NIEL;BENJAMIN;N
87;MALE;Grégory;Mossé;7;21/07/2016;;M20160720MOSSÉ;POUSSIN;N
88;FEMALE;Hortense;Morel;8;13/10/2019;;F20191012MOREL;MINI_POUSSIN;Y
89;FEMALE;Blandine;Alméras;7;17/05/2014;;F20140516ALMÉR;BENJAMIN;Y
90;FEMALE;Linda;Rousselot;3;15/07/2012;;F20120714ROUSS;BENJAMIN;Y
91;MALE;Barthélemy;Silvestre;6;05/12/2018;;M20181204SILVE;MINI_POUSSIN;N
92;MALE;Justin;Bruguière;6;16/01/2013;;M20130115BRUGU;BENJAMIN;N
93;MALE;Renaud;Tremblay;6;16/12/2018;;M20181215TREMB;MINI_POUSSIN;N
94;MALE;Estienne;Gicquel;8;24/06/2018;;M20180623GICQU;MINI_POUSSIN;N
95;MALE;Jean-Marc;Gaume;3;13/01/2012;;M20120112GAUME;BENJAMIN;N
96;MALE;Baptiste;Lavigne;5;26/09/2014;;M20140925LAVIG;BENJAMIN;Y
97;MALE;Gaëtan;Sadoul;1;22/12/2014;;M20141221SADOU;BENJAMIN;N
98;MALE;Maximilien;Robineau;1;14/03/2016;;M20160313ROBIN;POUSSIN;Y
99;MALE;Jean-Christophe;Allemand;2;06/12/2014;;M20141205ALLEM;BENJAMIN;Y
100;MALE;Jérémy;Ballesdens;2;10/04/2011;;M20110409BALLE;BENJAMIN;Y
101;MALE;Constantin;Cerfbeer;5;06/09/2011;;M20110905CERFB;BENJAMIN;N
102;FEMALE;Nadia;Vaillancourt;6;22/06/2018;;F20180621VAILL;MINI_POUSSIN;Y
103;MALE;Armel;Delaunay;5;20/10/2012;;M20121019DELAU;BENJAMIN;Y
104;FEMALE;Jocelyne;Regnard;5;12/12/2015;;F20151211REGNA;POUSSIN;N
105;MALE;Clément;Ange;2;24/05/2019;;M20190523ANGE;MINI_POUSSIN;N
106;MALE;Vincent;Deschanel;2;10/10/2018;;M20181009DESCH;MINI_POUSSIN;Y
107;FEMALE;Gwenaëlle;Soyer;2;12/04/2014;;F20140411SOYER;BENJAMIN;Y
108;MALE;Cyrille;Sardou;3;25/03/2017;;M20170324SARDO;MINI_POUSSIN;N
109;FEMALE;Christiane;Vidal;8;12/03/2014;;F20140311VIDAL;BENJAMIN;N
110;FEMALE;Adeline;Masson;1;22/11/2012;;F20121121MASSO;BENJAMIN;Y
111;MALE;Désiré;Lebas;7;07/07/2012;;M20120706LEBAS;BENJAMIN;Y
112;FEMALE;Marion;Bozonnet;2;05/03/2016;;F20160304BOZON;POUSSIN;Y
113;MALE;Daniel;Gaume;7;17/08/2017;;M20170816GAUME;MINI_POUSSIN;Y
114;MALE;Axel;Chappuis;2;27/11/2018;;M20181126CHAPP;MINI_POUSSIN;Y
115;FEMALE;Victoire;Jacquard;8;16/09/2013;;F20130915JACQU;BENJAMIN;N
116;FEMALE;Charlotte;Thibodeau;7;24/01/2019;;F20190123THIBO;MINI_POUSSIN;Y
117;MALE;Raoul;Aubert;3;17/02/2012;;M20120216AUBER;BENJAMIN;Y
118;MALE;Louis;Boulanger;8;04/10/2017;;M20171003BOULA;MINI_POUSSIN;Y
119;FEMALE;Dany;Matthieu;7;03/05/2013;;F20130502MATTH;BENJAMIN;Y
120;MALE;Maurice;Martin;3;26/07/2014;;M20140725MARTI;BENJAMIN;Y
121;FEMALE;Chloé;Boulanger;7;24/06/2011;;F20110623BOULA;BENJAMIN;Y
122;MALE;Wilfried;Baschet;7;10/03/2012;;M20120309BASCH;BENJAMIN;N
123;FEMALE;Laurence;Boissonade;4;18/12/2019;;F20191217BOISS;MINI_POUSSIN;Y
124;MALE;Bruno;Robillard;3;18/09/2018;;M20180917ROBIL;MINI_POUSSIN;Y
125;FEMALE;Ilonna;Robillard;2;15/08/2013;;F20130814ROBIL;BENJAMIN;Y
126;FEMALE;Roselyne;Barbeau;2;14/09/2016;;F20160913BARBE;POUSSIN;N
127;FEMALE;Angeline;Doisneau;1;14/10/2014;;F20141013DOISN;BENJAMIN;N
128;FEMALE;Murielle;Chaney;2;05/04/2015;;F20150404CHANE;POUSSIN;Y
129;FEMALE;Nadège;Carpentier;1;17/08/2015;;F20150816CARPE;POUSSIN;Y
130;FEMALE;Hélène;Mesny;2;23/01/2017;;F20170122MESNY;MINI_POUSSIN;Y
131;MALE;Jean-Louis;Hébras;7;07/08/2017;;M20170806HÉBRA;MINI_POUSSIN;N
132;MALE;Romuald;Bettencourt;4;04/01/2014;;M20140103BETTE;BENJAMIN;N
133;FEMALE;Carmen;Galopin;7;01/01/2017;;F20161231GALOP;MINI_POUSSIN;N
134;FEMALE;Romaine;Gérin-Lajoie;3;26/04/2013;;F20130425GÉRIN;BENJAMIN;Y
135;MALE;Ignace;Roatta;6;13/03/2016;;M20160312ROATT;POUSSIN;N
136;MALE;Yves;Bocuse;8;27/03/2012;;M20120326BOCUS;BENJAMIN;N
137;FEMALE;Christelle;Seyrès;8;09/10/2017;;F20171008SEYRÈ;MINI_POUSSIN;Y
138;MALE;Lou;Thévenet;7;06/03/2016;;M20160305THÉVE;POUSSIN;N
139;MALE;Lou;Paquin;4;14/08/2011;;M20110813PAQUI;BENJAMIN;N
140;FEMALE;Stéphane;Pretre;6;05/07/2018;;F20180704PRETR;MINI_POUSSIN;Y
141;MALE;Florent;Laframboise;4;04/03/2017;;M20170303LAFRA;MINI_POUSSIN;Y
142;FEMALE;Alix;Geiger;3;23/03/2011;;F20110322GEIGE;BENJAMIN;Y
143;MALE;Mickaël;Fouché;2;06/04/2014;;M20140405FOUCH;BENJAMIN;N
144;MALE;Victor;Suchet;3;21/07/2016;;M20160720SUCHE;POUSSIN;N
145;MALE;Alban;Gigot;7;18/06/2015;;M20150617GIGOT;POUSSIN;Y
146;MALE;Quentin;Ouvrard;6;21/11/2016;;M20161120OUVRA;POUSSIN;N
147;FEMALE;Colette;Rochefort;1;17/08/2013;;F20130816ROCHE;BENJAMIN;N
148;FEMALE;Fabienne;Beaux;4;21/02/2018;;F20180220BEAUX;MINI_POUSSIN;Y
149;MALE;Médard;Compere;8;27/05/2017;;M20170526COMPE;MINI_POUSSIN;Y
150;FEMALE;Chantal;Bonhomme;6;01/12/2012;;F20121130BONHO;BENJAMIN;Y
151;MALE;Lucas;LeBeau;5;12/09/2016;;M20160911LEBEA;POUSSIN;Y
152;FEMALE;Abelone;Appell;6;07/09/2018;;F20180906APPEL;MINI_POUSSIN;N
153;MALE;Eugène;Chopin;4;22/10/2016;;M20161021CHOPI;POUSSIN;Y
154;MALE;Édouard;Gaubert;1;05/10/2013;;M20131004GAUBE;BENJAMIN;Y
155;MALE;Maxence;Boucher;7;12/06/2017;;M20170611BOUCH;MINI_POUSSIN;Y
156;FEMALE;Agnès;Gaudreau;2;01/12/2018;;F20181130GAUDR;MINI_POUSSIN;N
157;FEMALE;Emmeline;Garreau;4;01/06/2015;;F20150531GARRE;POUSSIN;Y
158;FEMALE;Emilie;Moitessier;4;04/09/2017;;F20170903MOITE;MINI_POUSSIN;Y
159;FEMALE;Amélie;About;8;21/07/2013;;F20130720ABOUT;BENJAMIN;Y
160;FEMALE;Claudine;Bourque;7;23/06/2014;;F20140622BOURQ;BENJAMIN;Y
